FileName,OriginalPath,OrganizedPath,DateTime,ImageType,GPSLatitude,GPSLongitude,Hotspots
DJI_20250212114339_0048_T.JPG,dataset\transformer\DJI_20250212114339_0048_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114339_0048_T.JPG,2025:02:12 11:43:39,Unknown,17.973490638888887,76.45137930555556,N/A
DJI_20250212114339_0048_V.JPG,dataset\transformer\DJI_20250212114339_0048_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114339_0048_V.JPG,2025:02:12 11:43:39,Unknown,17.973490527777777,76.45137916666667,N/A
DJI_20250212114348_0049_T.JPG,dataset\transformer\DJI_20250212114348_0049_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114348_0049_T.JPG,2025:02:12 11:43:48,Unknown,17.97351347222222,76.45138730555556,N/A
DJI_20250212114348_0049_V.JPG,dataset\transformer\DJI_20250212114348_0049_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114348_0049_V.JPG,2025:02:12 11:43:48,Unknown,17.97351336111111,76.45138716666666,N/A
DJI_20250212114357_0050_T.JPG,dataset\transformer\DJI_20250212114357_0050_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114357_0050_T.JPG,2025:02:12 11:43:57,Unknown,17.973561388888886,76.45149447222222,N/A
DJI_20250212114357_0050_V.JPG,dataset\transformer\DJI_20250212114357_0050_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114357_0050_V.JPG,2025:02:12 11:43:57,Unknown,17.973561583333332,76.45149455555556,N/A
DJI_20250212114401_0051_T.JPG,dataset\transformer\DJI_20250212114401_0051_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114401_0051_T.JPG,2025:02:12 11:44:01,Unknown,17.973561944444445,76.45149527777778,N/A
DJI_20250212114401_0051_V.JPG,dataset\transformer\DJI_20250212114401_0051_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114401_0051_V.JPG,2025:02:12 11:44:01,Unknown,17.97355188888889,76.4515036388889,N/A
DJI_20250212114404_0052_T.JPG,dataset\transformer\DJI_20250212114404_0052_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114404_0052_T.JPG,2025:02:12 11:44:04,Unknown,17.973561861111108,76.45149547222222,N/A
DJI_20250212114404_0052_V.JPG,dataset\transformer\DJI_20250212114404_0052_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114404_0052_V.JPG,2025:02:12 11:44:04,Unknown,17.97355183333333,76.45150369444444,N/A
DJI_20250212114418_0053_T.JPG,dataset\transformer\DJI_20250212114418_0053_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114418_0053_T.JPG,2025:02:12 11:44:18,Unknown,17.97359536111111,76.4514188888889,N/A
DJI_20250212114418_0053_V.JPG,dataset\transformer\DJI_20250212114418_0053_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114418_0053_V.JPG,2025:02:12 11:44:18,Unknown,17.973585944444444,76.45142630555556,N/A
DJI_20250212114438_0054_T.JPG,dataset\transformer\DJI_20250212114438_0054_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114438_0054_T.JPG,2025:02:12 11:44:38,Unknown,17.973370166666665,76.4516101388889,N/A
DJI_20250212114439_0054_V.JPG,dataset\transformer\DJI_20250212114439_0054_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114439_0054_V.JPG,2025:02:12 11:44:39,Unknown,17.973358444444443,76.45161836111112,N/A
DJI_20250212114441_0055_T.JPG,dataset\transformer\DJI_20250212114441_0055_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114441_0055_T.JPG,2025:02:12 11:44:41,Unknown,17.973370055555552,76.45160911111111,N/A
DJI_20250212114441_0055_V.JPG,dataset\transformer\DJI_20250212114441_0055_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114441_0055_V.JPG,2025:02:12 11:44:41,Unknown,17.973370222222222,76.45160908333334,N/A
DJI_20250212114449_0056_T.JPG,dataset\transformer\DJI_20250212114449_0056_T.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114449_0056_T.JPG,2025:02:12 11:44:49,Unknown,17.97344261111111,76.45162225,N/A
DJI_20250212114449_0056_V.JPG,dataset\transformer\DJI_20250212114449_0056_V.JPG,output\organized_images\2025-02-12\Unknown\DJI_20250212114449_0056_V.JPG,2025:02:12 11:44:49,Unknown,17.97343213888889,76.45163077777778,N/A
